23.01.2026                                                                                 Salida dinámica de lista                                                                                         1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Ce. |Alm.|CMv|Razión|Registrado|Hora    |Doc.mat.  |Usuario   |Fecha doc.|Material|Texto breve de material                 |Lote  |Cantidad|   Impte.ML|Txt.cab.doc.  |Pedido|Proveedor|Txt clase-mov.    |
| 4100|4185|YR1|  2521|02.02.2025|05:53:54|7810075647|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4185 258809519|      |         |SM Ventas Retail  |
| 4100|4181|YR1|  2521|02.02.2025|05:53:51|7810075909|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |ZA0015|      1-|       736-|4181 258781415|      |         |SM Ventas Retail  |
| 4100|4179|YR1|  2521|02.02.2025|05:53:51|7810074250|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z20005|      1-|       736-|4179 258794950|      |         |SM Ventas Retail  |
| 4100|4181|YR1|  2521|02.02.2025|05:53:51|7810076062|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |ZA0015|      1-|       736-|4181 258781408|      |         |SM Ventas Retail  |
| 4100|4179|YR1|  2521|02.02.2025|05:53:51|7810074163|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4179 258794963|      |         |SM Ventas Retail  |
| 4100|4179|YR1|  2521|02.02.2025|05:53:51|7810073971|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4179 258832999|      |         |SM Ventas Retail  |
| 4100|4181|YR1|  2521|02.02.2025|05:53:51|7810074249|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4181 258781412|      |         |SM Ventas Retail  |
| 4100|4176|YR1|  2521|02.02.2025|05:53:49|7810074739|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4176 258867820|      |         |SM Ventas Retail  |
| 4100|4175|YR1|  2521|02.02.2025|05:53:48|7810075320|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z80012|      1-|       736-|4175 258868552|      |         |SM Ventas Retail  |
| 4100|4175|YR1|  2521|02.02.2025|05:53:48|7810074365|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z80012|      1-|       736-|4175 258868559|      |         |SM Ventas Retail  |
| 4100|4177|YR1|  2521|02.02.2025|05:53:48|7810076095|WF-BATCH  |01.02.2025|50374276|ESSENCIAL EXCLUSIVO FEM EDP 100ML LTM NV|Z40003|      1-|     4.660-|4177 258764788|      |         |SM Ventas Retail  |
| 4100|4178|YR1|  2521|02.02.2025|05:53:48|7810075321|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4178 258761108|      |         |SM Ventas Retail  |
| 4100|4166|YR1|  2521|02.02.2025|05:53:46|7810074364|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4166 258863195|      |         |SM Ventas Retail  |
| 4100|4166|YR1|  2521|02.02.2025|05:53:45|7810074363|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z20004|      1-|       736-|4166 258863172|      |         |SM Ventas Retail  |
| 4100|4168|YR1|  2521|02.02.2025|05:53:45|7810074551|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4168 258845025|      |         |SM Ventas Retail  |
| 4100|4170|YR1|  2521|02.02.2025|05:53:45|7810075124|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4170 258884582|      |         |SM Ventas Retail  |
| 4100|4165|YR1|  2521|02.02.2025|05:53:45|7810075706|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4165 258836844|      |         |SM Ventas Retail  |
| 4100|4164|YR1|  2521|02.02.2025|05:53:42|7810075705|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z90014|      1-|       736-|4164 258861831|      |         |SM Ventas Retail  |
| 4100|4165|YR1|  2521|02.02.2025|05:53:42|7810075704|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4165 258879094|      |         |SM Ventas Retail  |
| 4100|4164|YR1|  2521|02.02.2025|05:53:41|7810074738|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4164 258861808|      |         |SM Ventas Retail  |
| 4100|4163|YR1|  2521|02.02.2025|05:53:39|7810074861|WF-BATCH  |01.02.2025|50297851|ESSENCIAL CLASS FEM EDP 50ML 2021 COL   |Z7PB02|      1-|     3.185-|4163 258865419|      |         |SM Ventas Retail  |
| 4100|4164|YR1|  2521|02.02.2025|05:53:39|7810076094|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z90014|      1-|       736-|4164 258861770|      |         |SM Ventas Retail  |
| 4100|4162|YR1|  2521|02.02.2025|05:53:39|7810075908|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |ZA0015|      1-|       736-|4162 258874315|      |         |SM Ventas Retail  |
